,target
40409,2
32367,1
15212,9
6284,8
9773,0
2331,9
1442,5
59100,3
58855,3
32373,7
20989,3
28574,9
22391,2
62684,3
2879,2
21272,1
55934,7
14487,6
54022,7
33628,1
8535,8
39512,1
59517,1
26775,0
22933,4
17292,3
60921,2
782,9
13862,5
61304,9
54764,0
27518,3
68849,0
1121,3
5363,5
17950,8
41141,2
20953,0
28264,3
56426,7
15443,3
31546,2
36875,2
45185,7
45103,8
102,1
10369,3
19495,3
56848,2
62787,2
36686,6
41876,6
20294,4
3998,9
11478,8
56185,5
49697,1
58116,0
65817,4
46915,1
1794,9
24573,3
45943,2
69128,4
67906,6
18339,1
43283,0
29440,7
15531,7
17617,7
56847,2
37862,1
43393,3
26546,4
59265,8
27743,4
68489,3
25832,5
69338,5
30438,0
5187,0
35744,3
47579,0
2218,0
50358,9
34090,9
49360,5
22950,7
48563,3
31715,7
49956,9
67408,4
3198,0
27331,2
23480,9
54254,1
63974,1
22354,5
67037,0
54887,7
57954,6
19427,4
57603,1
31208,6
23468,2
67299,1
54504,9
6210,4
63540,0
57064,0
8846,6
36598,8
2456,3
60404,2
22654,6
62967,7
44302,2
64117,8
45655,3
28509,4
69014,6
7313,2
3008,7
37189,0
26322,7
14858,1
19091,1
26406,1
36208,4
45988,8
42702,1
37054,3
4773,0
13286,0
34520,6
43150,4
60421,2
30684,1
33894,4
44791,4
10224,6
30274,1
69937,2
50489,1
47078,0
31857,0
5278,4
9940,4
9532,9
9204,0
7058,3
32042,3
10317,2
60070,7
47443,2
8926,0
746,4
14166,3
4243,6
46954,1
47011,6
47887,0
53495,4
40747,2
2143,5
57596,8
11811,2
18303,6
44898,2
12735,6
5711,0
41887,5
19996,5
29984,7
61945,1
69121,1
55699,7
2210,8
52757,2
20432,2
7840,5
66659,8
55595,9
61048,9
58002,0
45469,7
40810,7
36840,7
64899,2
61416,0
19463,2
34592,9
31313,8
22820,6
23504,0
9601,8
32995,8
51009,8
41863,3
31697,9
34561,5
7910,1
20379,4
38914,0
1676,1
20681,0
9805,8
8739,0
65275,5
30388,0
18834,7
56041,9
61037,1
15335,3
27219,7
66064,2
41234,2
20207,9
17827,9
57923,7
65495,8
41877,0
8246,3
52745,1
54116,4
11646,4
7352,7
31037,6
44149,2
26203,8
16605,4
54217,8
47982,1
67253,1
35107,0
8665,7
1366,6
45835,7
42332,1
42977,7
61134,3
12395,7
16097,6
39649,7
16813,2
17171,1
3711,8
28390,8
35866,4
37980,0
45227,9
25055,3
59509,6
37591,7
5953,7
68844,2
23625,2
61392,1
69550,4
29387,8
20044,5
68594,2
22601,0
59004,2
50800,5
26052,6
37878,7
23012,1
12248,9
49301,7
61762,0
6685,2
16778,9
48847,5
60396,2
18938,5
37069,5
66936,9
38839,2
22548,2
47176,8
54107,3
20193,9
26247,3
55103,3
21468,3
8266,4
18215,2
13045,3
6391,2
59811,6
37213,1
26821,2
28732,5
10412,5
49866,7
2777,6
60714,8
49947,8
27896,1
48119,1
38110,0
15977,1
14244,2
9209,0
11458,2
57386,7
24841,2
13297,1
10411,2
18771,6
28176,9
57257,8
57144,4
35693,9
47607,4
46063,8
42538,2
6955,4
725,8
63536,0
62276,1
56755,0
15296,2
16497,2
2002,8
66605,6
1834,5
24224,6
53550,9
50945,8
6339,7
38034,7
33949,1
65069,0
30050,8
2739,5
9081,9
11104,3
17801,4
14579,9
44057,6
49937,4
67659,5
28902,8
65147,0
35822,4
27375,5
8383,1
24078,0
26117,0
26761,0
68591,7
67153,4
6098,3
44600,9
7657,4
49887,8
63789,1
46000,9
32192,3
14778,6
65019,3
28996,4
21869,9
2801,4
6544,8
64503,2
33867,7
22436,0
22310,5
51848,3
53916,0
6144,2
52527,5
65527,9
57109,1
40594,6
9512,6
36862,3
14838,2
42951,3
54885,6
37387,7
28332,5
2911,9
37277,6
49224,0
37731,4
23208,4
40838,7
34104,9
34624,6
57328,4
13398,1
20071,2
19018,1
35772,8
80,9
61676,6
51914,7
22741,3
45036,5
2523,6
1684,9
28050,2
14393,0
56196,7
42431,5
9329,0
24806,8
12196,2
39147,2
18053,1
69032,2
1868,0
7085,7
31862,1
22257,6
59397,9
32263,2
8335,0
57633,2
16245,6
24527,4
39618,3
8165,9
35186,4
24001,5
6973,0
22226,2
65056,5
32955,7
8968,9
52148,9
25351,6
29592,7
8954,7
4249,6
54366,5
3391,0
47288,6
56245,3
37598,1
15773,3
43417,3
47718,5
44313,0
49889,0
18029,0
44901,2
11623,7
23881,4
49977,6
12341,5
15658,9
4712,6
49523,7
32949,2
45060,7
1739,7
14809,2
63424,6
24516,5
22710,0
53587,1
31002,2
10106,2
59754,6
66086,4
47874,9
15553,9
29835,6
22102,5
9259,5
13008,4
61706,4
31606,6
44712,4
24778,5
51027,5
49975,2
58090,7
56452,4
24821,9
16297,6
38356,2
61131,5
62483,6
22831,1
57933,2
24756,9
19877,8
62165,4
20892,6
37485,4
33945,0
44805,7
21961,6
49174,7
13095,8
31794,2
60140,6
10202,7
68207,9
15293,1
2941,3
67352,5
52585,3
33516,1
5212,9
42474,2
49841,3
20422,7
10785,2
29707,6
23611,9
36380,1
63663,5
1552,9
42855,9
25172,3
44815,0
32503,8
50111,5
58455,7
22538,1
54090,2
66113,6
24621,3
33698,2
19971,9
47875,1
27836,1
4483,9
10861,0
29829,8
63707,8
27687,8
26941,2
28499,3
4590,5
2303,8
33084,1
68767,7
19640,1
54958,8
29459,3
1386,0
39158,5
27874,2
5910,6
66673,1
62298,8
62724,8
5411,9
68040,6
3611,4
31739,1
40699,2
45851,6
23558,6
51040,5
36120,2
31411,6
47495,7
25905,9
14701,1
3087,7
32487,4
1122,9
11427,6
40482,1
65998,1
2207,3
19561,4
49120,7
24025,7
8405,3
41784,1
24094,7
2854,0
12120,9
27674,6
7120,4
57327,5
31564,3
41414,7
19727,4
7644,7
14154,1
27757,6
5728,3
4827,6
43485,6
56128,5
7779,4
13307,1
69893,2
61630,1
69673,8
55390,6
37818,7
10335,6
55628,3
40672,4
53634,5
32448,4
60922,2
13821,5
24938,7
5564,7
34964,2
1401,9
38975,1
29064,2
49924,0
6382,9
61688,6
39073,9
6418,5
20697,3
47567,8
10562,1
55575,4
57470,5
42907,3
21165,9
25083,9
6623,7
63250,2
61104,7
26622,6
53107,3
10029,2
61932,2
63955,5
61728,1
24921,5
44219,7
43230,3
60468,7
67482,2
29413,2
968,7
16930,1
15098,7
18392,7
52528,7
25542,0
30816,2
29150,5
4889,0
61549,4
42934,2
67747,0
42682,8
1147,9
35292,9
46683,0
40955,4
3613,5
21490,4
65488,5
47287,3
59910,9
9083,0
18887,8
15985,6
54025,2
46727,2
36748,7
21065,8
47837,1
8658,6
4668,9
65852,5
2270,2
40391,9
42201,3
25951,8
41084,9
9519,7
10724,4
27895,1
41743,0
63756,5
33574,4
47819,2
4879,9
6884,5
51699,2
66353,7
9103,1
14595,1
17152,9
41654,6
21073,2
65572,5
61576,7
8997,2
46847,5
16431,4
28226,8
26589,7
7471,0
39303,4
14954,7
61752,5
2364,9
58071,2
2487,6
58346,7
35615,3
33242,6
45133,2
62437,2
62105,3
31212,6
27830,7
54322,3
8946,3
55589,2
4839,4
69146,6
45832,2
20109,5
8895,1
54300,9
37999,7
34087,2
56910,1
22869,6
33650,4
31860,4
69223,0
174,1
35168,1
51550,2
35901,2
13526,9
61754,7
37744,0
29711,8
67457,2
31320,9
66111,2
69817,8
46761,4
32915,5
23219,1
52386,3
54206,6
40073,9
59991,2
44125,1
14697,8
15354,9
10620,2
49797,5
4983,9
52831,0
3240,4
25984,8
4097,4
29391,3
15150,0
54949,5
41220,4
50942,7
11715,1
46219,2
27513,8
69562,9
5378,5
34390,3
3235,4
37831,6
3942,7
44128,6
11650,7
62525,5
37220,0
68286,1
26692,3
22733,3
63800,6
42837,1
48786,4
50151,0
7761,1
56330,4
63596,4
25127,3
35452,6
38078,2
23511,1
48789,9
59522,4
7865,5
69885,0
44287,6
37275,5
57415,3
66132,2
121,0
40078,3
56,0
48877,2
30964,8
57153,2
39941,3
33810,8
37525,7
24415,7
61432,2
33819,2
32464,6
38145,3
15777,0
40438,1
10891,5
32891,9
59751,8
29342,8
25788,7
24810,4
36220,6
17353,2
776,0
44279,4
49569,1
21080,3
58596,9
31117,3
57133,8
29027,5
19629,9
49676,4
53966,1
17840,2
22472,4
5018,6
23097,1
36157,7
44288,1
11170,7
62612,1
30457,1
7919,4
67127,8
44465,7
30431,3
27134,6
68749,7
24954,8
52163,6
28952,5
50575,2
23526,7
25310,1
21708,8
22475,1
26274,7
53168,1
20093,5
66084,2
55466,7
17530,8
9091,4
31898,6
63811,2
12523,6
56277,5
30948,0
34609,7
20550,2
23188,4
24203,2
18841,2
67927,7
8814,6
12155,6
41138,0
37983,5
13079,8
36254,6
15487,8
16274,8
6947,7
63726,4
7681,8
46294,0
24514,4
23507,7
20373,1
62122,2
13151,8
48124,7
7777,8
21847,1
26357,2
55842,7
18754,7
40166,3
25787,2
39821,7
21297,9
19690,9
44448,0
31137,7
50710,9
456,8
21671,5
49161,6
20947,0
67327,2
64798,6
45269,6
8419,5
55757,6
34586,0
67778,6
2760,3
15470,2
38144,7
38889,0
68462,4
36716,3
30648,6
22518,4
32134,5
16048,4
8985,1
11852,4
21513,0
48804,9
63353,1
37113,0
48770,3
20918,9
2391,7
35070,9
10946,7
48964,9
47312,8
56781,0
26266,7
12079,2
1458,1
42443,2
35461,4
37505,4
36377,3
9052,7
18058,6
55479,0
5807,4
49199,0
55253,0
39038,7
9953,3
45091,5
61192,9
40368,7
44913,8
40131,8
68785,3
17651,5
68755,4
46013,6
59905,4
66685,6
68483,3
52887,1
12718,2
39095,1
62820,7
61818,6
55130,0
36259,6
27376,2
31502,0
5699,8
12140,0
63407,3
63874,9
33587,3
64750,8
22170,1
41729,0
50975,3
19616,9
19774,0
45226,5
945,4
58141,5
56344,5
63599,2
68451,3
60239,1
39484,1
54981,2
16674,1
36885,5
33942,1
68458,0
8215,4
39364,1
11889,5
66071,9
3606,3
53681,8
4450,5
8086,4
18908,6
51359,2
54151,5
25980,0
62671,7
8251,2
5917,8
46548,3
33920,7
28642,7
22063,0
37330,1
7877,1
18385,4
30912,7
50232,1
52552,1
26399,3
12888,0
68434,4
18638,4
52695,2
13471,4
35179,4
11500,5
44092,2
27782,4
41392,1
9210,6
4606,9
46210,1
30498,9
30961,5
67494,4
2528,0
66845,7
65260,4
17652,6
1292,9
184,1
130,3
41599,9
66153,8
49568,5
63066,4
44305,3
8778,1
6177,5
9912,2
12067,7
23114,2
67759,4
1417,7
24929,4
46998,8
34707,8
18472,7
60779,5
41762,7
53147,1
49816,6
27871,1
17321,4
66164,7
22184,2
6780,2
44267,8
44529,1
66962,0
31997,7
48653,4
12229,5
42532,2
2946,5
22393,5
65374,5
15027,4
32336,0
65842,4
51555,3
11665,3
48758,9
55395,8
62653,5
31999,5
42953,4
35458,3
7345,1
44025,9
57944,5
53199,1
16242,5
43565,9
5758,2
51762,5
67008,9
28456,0
21933,0
3854,7
17185,7
29504,3
62639,3
25758,1
42522,2
27182,1
36024,9
17267,7
39312,3
65166,1
38447,7
6856,3
68390,1
778,5
24380,6
53736,9
68640,9
68145,8
45626,7
30041,3
58880,8
12574,5
28012,7
42026,1
41012,0
48532,0
27650,8
60767,1
20463,0
44802,5
48612,0
22046,0
42111,0
44923,5
75,0
64294,9
29901,1
45905,0
47244,9
53282,3
57605,2
68680,9
36853,2
30194,1
49103,3
9630,9
53424,0
27391,9
12203,9
40205,3
62513,7
11576,2
22705,1
6790,9
39620,0
59912,1
39177,6
39120,5
3624,4
61070,5
55867,6
2493,0
33779,6
19952,4
36050,9
25535,3
34793,3
21836,5
56963,6
1328,5
34018,3
9439,0
25990,4
37077,9
36474,9
30854,1
27135,3
60741,2
15903,1
39442,8
57215,7
43581,6
9444,7
7125,7
43725,7
22326,7
10677,3
48546,4
26751,2
31950,1
68270,5
46052,4
69819,1
33911,3
58815,6
51670,8
4157,2
48083,6
4234,3
65098,5
33389,0
24546,2
29818,4
59849,1
39721,3
7976,3
67769,9
4298,7
16090,9
31352,5
59725,3
21371,5
36270,8
32516,8
26447,2
18811,8
33915,4
52002,1
15826,6
50862,0
55313,9
59829,9
29356,3
60628,3
65942,0
66530,5
29665,8
57093,8
53239,2
49363,2
56695,5
25641,3
47886,8
58865,1
25233,9
38826,2
58824,5
58573,8
52928,0
24548,7
39651,7
2138,6
39261,7
15735,4
63028,5
32103,8
14726,9
33364,2
16992,9
36665,6
56535,3
30708,4
9071,4
64677,7
22038,5
37228,6
67233,3
58805,4
47402,7
59880,5
49053,7
25292,4
35022,3
41107,3
58626,6
69154,2
4946,7
44323,7
31932,1
38980,6
40182,5
68961,4
60770,4
47054,1
4682,0
4393,7
9838,9
33143,4
51709,8
34644,3
67044,9
55487,0
5848,6
24225,0
6135,1
1654,1
57887,0
63517,4
60935,5
26451,5
4415,0
3494,7
22457,2
54464,0
33714,4
25626,0
27777,5
51649,0
64855,7
49806,7
47188,8
18189,5
6153,8
66795,0
50313,1
45340,3
61522,7
34862,3
25674,8
24623,2
18648,7
52598,6
50079,9
21198,5
37739,0
50138,5
48439,0
59553,5
11259,3
36746,6
15783,4
32478,8
63807,8
43945,8
23088,0
33159,6
30332,6
61782,8
29158,3
35278,1
69555,6
27097,4
57220,1
57053,0
63347,0
5523,9
68211,6
8304,0
12602,3
59073,6
25089,2
56186,6
21907,0
56677,6
62111,8
17803,8
32869,0
32304,9
26405,9
24460,8
10588,9
29151,0
50254,7
27257,0
65879,2
10320,4
33306,4
37066,5
6367,0
22829,0
19959,5
23392,5
39346,0
49214,0
44383,5
3265,9
69848,1
17737,9
9013,1
59468,7
61326,7
65303,6
27878,2
15002,1
44502,2
4233,3
4528,7
25225,3
69823,7
28179,7
12975,6
50126,7
14305,8
163,4
8632,2
27188,2
34799,2
24704,9
30314,6
18068,6
37709,8
33548,6
20971,7
48037,8
32421,3
435,0
36198,0
19811,0
2208,4
43683,2
37280,3
62284,3
62832,5
46426,7
66209,8
28512,5
848,4
64495,0
35099,6
40788,2
32610,3
15195,9
26281,4
27399,8
11514,0
52193,4
4070,1
30323,5
15370,6
24708,5
63469,3
38109,3
36529,8
18389,1
8615,1
55003,7
47959,8
64105,1
66868,1
57617,8
52339,7
3460,3
25687,1
6613,1
67772,2
34477,7
16723,4
20456,1
65650,8
21654,3
14810,3
56073,3
49081,3
69805,4
47524,6
57094,1
12646,9
27235,7
24666,5
28414,0
1043,7
34686,6
1036,9
3810,3
5805,4
17776,7
51750,1
45437,1
57804,3
64758,3
49510,6
14030,3
69967,8
49352,5
60175,7
5876,1
54564,8
25202,1
48154,9
44943,7
17953,6
13955,0
5739,6
36888,5
68851,0
68492,2
20386,7
29583,6
24293,1
62005,4
24571,7
8496,8
14426,4
23240,1
6956,7
20612,2
20125,5
10648,7
36275,8
29197,5
52746,8
69540,1
22945,2
48799,2
56735,0
35311,0
61692,0
64231,8
54370,6
34311,8
2116,9
1714,2
60727,3
57279,4
63580,7
17341,3
7833,5
54994,6
54326,2
18291,8
49636,5
37584,5
63399,7
19106,5
35300,8
54969,6
14001,1
28013,2
5432,3
12462,6
56552,6
26379,8
14814,7
3511,9
55521,0
4950,1
65741,4
21940,4
18037,7
45970,3
16510,3
32327,7
47984,2
40060,7
40636,3
69026,9
8085,9
4964,7
2954,6
19302,3
5436,2
47721,1
50979,1
11339,2
2709,0
32953,0
51487,8
53417,8
61239,3
51372,1
45752,4
19335,3
41085,3
31366,1
1544,1
21228,3
19413,3
62524,1
3603,0
24373,3
34336,6
40559,7
55985,2
60316,6
43392,9
24048,8
3675,1
62009,9
22128,6
5767,0
32479,3
53307,4
24505,7
48644,5
23147,8
51159,6
46017,0
6423,1
33748,5
4819,2
28095,2
29327,6
13581,1
20474,1
59015,8
2701,7
66100,4
31218,9
34017,1
38590,0
12730,7
3958,8
21782,5
57221,0
58917,6
64674,1
25657,8
28660,1
41271,8
51570,6
60048,4
8051,1
44481,5
56001,8
25738,5
50677,5
67472,2
39646,1
24904,1
52195,5
5879,6
44079,1
38687,3
26178,0
54605,1
12758,6
45333,7
29389,6
10928,4
36565,8
19362,8
15623,8
2181,4
61186,7
56896,9
17880,2
31705,6
64878,2
51856,7
33623,1
59064,5
8974,6
56862,6
262,2
59539,2
41556,0
43692,8
29441,6
64405,9
55626,6
54074,3
53465,7
60293,2
57700,0
5614,9
10164,6
11988,4
44979,0
47596,7
60212,9
39430,6
4380,2
12942,3
46556,2
49122,3
3954,1
45100,4
44342,4
37017,3
24240,8
253,2
26787,5
60400,2
14406,8
45937,7
20344,3
55819,1
13654,2
55704,2
63412,0
58200,3
21173,1
11821,7
61228,9
46385,1
45169,2
43335,8
42694,6
13757,9
44174,3
61682,2
42487,0
57347,6
8627,6
69692,9
46452,1
28463,9
43163,7
43464,8
61584,8
324,7
16968,9
20235,9
61904,9
67694,8
23071,8
38452,8
29030,1
40159,5
40365,2
3147,2
53103,1
52708,4
22110,9
15271,1
61212,6
44840,7
43161,6
27948,4
53995,3
53944,7
62212,9
33583,3
40247,3
17258,3
14871,7
25466,5
48834,0
29495,9
41268,6
41281,9
66635,2
56596,4
52038,3
66927,0
31042,3
12251,6
44343,8
44991,5
16327,2
67910,4
21485,6
32442,4
56834,1
23675,2
14033,7
38750,1
68402,7
62227,9
48818,9
3521,3
62874,7
30997,2
65699,1
27164,9
55389,5
20986,8
22951,5
21602,0
38835,0
37397,3
58202,7
15705,7
38344,9
44308,8
43688,4
2376,7
38409,2
54075,2
30914,8
40423,1
14117,9
6889,7
19848,6
25361,4
37249,5
12445,2
22730,3
42961,8
26645,0
207,3
65434,8
67523,7
37877,9
62693,1
62390,2
21803,7
24642,4
15266,1
63195,2
54125,2
8818,3
46715,6
11,5
22438,8
3234,1
67802,1
45156,8
5750,6
21001,3
16192,0
69991,8
60445,6
9818,6
60533,4
7219,0
55346,7
38587,8
17208,3
16204,1
30389,1
12439,7
909,3
15062,7
41323,6
57145,9
6684,0
60739,5
29724,9
10602,1
20646,7
23610,2
59162,7
55355,0
47384,1
23653,6
20145,2
10000,3
53629,7
6807,6
69273,0
59996,3
50523,0
52416,1
37457,9
37963,7
26836,0
7735,5
65203,1
11361,0
63382,6
65892,3
31975,3
34159,5
59874,4
32182,4
49707,4
13696,6
549,3
711,1
34261,1
55908,5
57010,6
50587,4
62546,5
6966,3
17994,9
63780,4
39737,1
60466,8
10758,4
25507,2
47696,0
25621,4
25506,7
15900,7
62155,0
34577,8
68395,4
48447,4
48833,4
16612,4
69340,7
14190,6
29018,9
69052,0
10860,9
57465,7
58523,0
42403,7
17233,8
3598,9
59460,1
33643,9
18259,1
14812,1
5654,6
37282,6
23110,6
17158,4
33663,1
6636,5
46581,6
64129,9
36462,2
53158,3
5433,3
30114,6
21757,9
16416,8
39799,4
33294,5
56063,5
43366,0
69323,7
42794,3
52385,3
16943,1
26261,0
31589,7
45284,1
63543,4
29879,4
37601,2
60542,8
13606,2
37146,7
59897,2
49313,9
32314,3
10069,0
6629,0
7785,6
21156,3
29628,1
12401,6
29799,7
11861,4
48482,3
32058,6
10109,9
40103,0
66360,7
12393,6
15321,8
28580,3
41520,7
44902,2
60268,8
34551,3
35545,5
20206,7
9763,5
55593,0
5034,8
52021,0
48314,4
4945,7
58323,2
68958,8
18022,0
67998,7
46845,6
62794,0
30262,5
15701,3
28939,5
29657,2
2713,5
1084,1
47079,0
20913,1
44995,9
67894,2
49549,9
4042,7
1510,2
1877,0
55335,1
40077,7
66544,5
28185,2
69207,6
41292,2
13693,2
69183,4
6911,7
29558,4
4198,6
27893,0
2788,3
52626,6
18578,4
60162,5
54486,0
46786,4
52406,9
62057,6
26529,7
62796,6
99,1
22215,6
67973,1
66759,4
67883,4
47867,0
7863,4
42348,1
69504,6
66430,1
8550,1
16487,5
61558,0
49067,2
18006,7
30281,1
12128,1
45947,5
36188,7
10135,6
59582,4
11840,9
10754,6
31529,1
11887,0
4570,3
12214,3
38890,7
4117,9
26345,6
51195,1
20328,8
44981,6
60744,2
13044,0
11184,4
13520,4
52576,9
54230,5
3160,0
7191,4
69943,3
23166,9
45383,0
1279,8
39967,6
8020,7
32779,2
32481,2
37419,4
13241,4
56175,2
45002,1
27355,6
42213,4
15301,5
19743,9
28037,3
6477,8
63601,1
21380,0
23577,6
12500,0
45092,1
68359,0
65370,1
6427,3
47862,2
27793,1
62413,5
674,2
15145,6
11724,8
8531,0
25724,1
18425,0
48375,8
34864,2
15736,2
9963,0
40305,3
29825,1
8235,4
57467,8
8874,4
21014,2
31856,6
44377,2
67860,6
13480,9
14203,8
22949,0
31194,0
30316,4
14115,3
38547,2
19652,1
9316,6
38133,7
42567,4
3170,5
28806,4
38727,9
5352,7
62352,6
344,9
27014,4
41944,1
13477,8
13061,2
55384,7
55759,7
57233,6
62768,5
32600,5
58125,7
28474,8
22443,3
53653,8
67904,6
35146,6
46638,7
42686,2
19448,7
26272,7
34709,4
35440,9
52064,0
8092,1
41338,0
50920,7
26554,3
68093,9
28496,6
58819,0
50855,1
58745,1
23094,7
38976,1
31321,0
69337,5
65093,1
50251,2
58504,4
31481,6
64614,0
47059,3
69493,5
12926,0
8066,9
33148,0
22913,8
43055,5
10093,3
35603,9
48280,8
28434,5
1130,3
16240,7
21475,8
34574,8
31559,3
53997,8
35988,6
61222,4
7741,6
40793,4
30026,8
38983,3
45241,6
25799,8
48921,5
5796,4
46191,8
29314,2
9669,7
49758,7
56600,8
9536,4
8695,4
34035,4
31782,5
24963,6
61623,0
21802,2
41567,1
23659,8
17505,1
28146,4
27515,9
1656,7
23860,3
30409,0
55166,6
20764,6
53076,2
66006,7
39085,5
9611,8
9262,6
49823,4
43498,6
67330,0
52022,3
7556,3
40025,4
4885,5
32505,3
40045,1
19026,4
60438,7
52627,1
54045,5
25828,9
64204,2
3348,9
20921,7
63106,2
54310,1
41532,7
52790,3
51321,3
41115,8
29108,9
38709,1
56132,7
65732,1
28425,6
66757,1
52899,7
1039,5
23158,5
